mode,delta_z,delta_n,mode_label,is_terminal,is_fission,is_indeterminate
B-,1,-1,beta minus,false,false,false
2B-,2,-2,double beta minus,false,false,false
B-N,1,-2,beta-delayed neutron,false,false,false
B-2N,1,-3,beta-delayed 2-neutron,false,false,false
B-A,-1,-3,beta-delayed alpha,false,false,false
B+,-1,1,beta plus,false,false,false
2B+,-2,2,double beta plus,false,false,false
EC,-1,1,electron capture,false,false,false
EC+B+,-1,1,electron capture / beta plus,false,false,false
2EC,-2,2,double electron capture,false,false,false
ECP,-2,1,EC-delayed proton,false,false,false
B+P,-2,1,beta-delayed proton,false,false,false
A,-2,-2,alpha,false,false,false
P,-1,0,proton emission,false,false,false
2P,-2,0,2-proton emission,false,false,false
N,0,-1,neutron emission,false,false,false
2N,0,-2,2-neutron emission,false,false,false
B-P,0,-1,beta-delayed proton,false,false,false
B-3N,1,-4,beta-delayed 3-neutron,false,false,false
B-4N,1,-5,beta-delayed 4-neutron,false,false,false
B-5N,1,-6,beta-delayed 5-neutron,false,false,false
B-6N,1,-7,beta-delayed 6-neutron,false,false,false
B-7N,1,-8,beta-delayed 7-neutron,false,false,false
ECA,-3,-1,EC-delayed alpha,false,false,false
B+A,-3,-1,beta-delayed alpha,false,false,false
EC2P,-3,1,EC-delayed 2-proton,false,false,false
B+2P,-3,1,beta-delayed 2-proton,false,false,false
IT,0,0,isomeric transition,true,false,false
SF,0,0,spontaneous fission,true,true,false
B-SF,0,0,beta-delayed fission,true,true,false
SF+EC+B+,-1,1,spontaneous fission / EC / beta plus,false,true,false
ECSF,-1,1,electron capture / spontaneous fission,false,true,false
